[ 2012-06-15T15:00:48+08:00 ] /me/ | INFO: Tag[ app_begin ] --START--
[ 2012-06-15T15:00:48+08:00 ] /me/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.128099s ]
[ 2012-06-15T15:00:48+08:00 ] /me/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.230779s ]
[ 2012-06-15T15:00:51+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_user` [ RunTime:1.822677s ]
[ 2012-06-15T15:00:51+08:00 ] /me/ | SQL: SELECT * FROM `my_user` WHERE ( `username` = 'xiaowei' ) AND ( `password` = 'c1efefc7c4396e847ee947cc033f55a8' ) LIMIT 1   [ RunTime:0.411751s ]
[ 2012-06-15T15:00:52+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_catalog` [ RunTime:0.401547s ]
[ 2012-06-15T15:00:52+08:00 ] /me/ | SQL: SELECT * FROM `my_catalog` WHERE pid='1' ORDER BY sequence  [ RunTime:0.122318s ]
[ 2012-06-15T15:00:52+08:00 ] /me/ | SQL: SHOW COLUMNS FROM `my_article` [ RunTime:0.453269s ]
[ 2012-06-15T15:00:52+08:00 ] /me/ | SQL: SELECT * FROM `my_article` ORDER BY create_time desc LIMIT 3   [ RunTime:0.001845s ]
[ 2012-06-15T15:00:52+08:00 ] /me/ | INFO: Tag[ view_template ] --START--
[ 2012-06-15T15:00:53+08:00 ] /me/ | INFO: Run LocationTemplate Behavior [ RunTime:0.359090s ]
[ 2012-06-15T15:00:53+08:00 ] /me/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.359196s ]
[ 2012-06-15T15:00:53+08:00 ] /me/ | INFO: Tag[ view_parse ] --START--
[ 2012-06-15T15:00:53+08:00 ] /me/ | INFO: Run ParseTemplate Behavior [ RunTime:0.847086s ]
[ 2012-06-15T15:00:53+08:00 ] /me/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.847185s ]
[ 2012-06-15T15:00:53+08:00 ] /me/ | INFO: Tag[ view_filter ] --START--
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Run ContentReplace Behavior [ RunTime:0.065863s ]
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Run TokenBuild Behavior [ RunTime:0.088547s ]
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.108009s ]
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Run ShowRuntime Behavior [ RunTime:0.080659s ]
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.343395s ]
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Tag[ view_end ] --START--
[ 2012-06-15T15:00:54+08:00 ] /me/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.088664s ]
